"time","anomalies.detector_id","anomalies.diff"
"2015-08-17T04:16:31.000Z","9","9"
"2015-08-17T09:52:31.000Z","9","10"
"2015-08-17T10:24:01.000Z","9","-16"
"2015-08-17T10:40:31.000Z","9","-11"
"2015-08-17T14:21:01.000Z","9","11"
"2015-08-17T15:04:31.000Z","3","5"
"2015-08-17T15:13:31.000Z","2","-4"
"2015-08-17T16:15:01.000Z","9","10"
"2015-08-17T16:18:01.000Z","2","4"
"2015-08-17T16:55:31.000Z","3","-5"
"2015-08-18T06:33:01.000Z","9","25"
"2015-08-18T11:40:31.000Z","9","-9"
"2015-08-18T11:46:31.000Z","9","-13"
"2015-08-18T15:03:01.000Z","3","5"
"2015-08-18T15:09:01.000Z","3","5"
"2015-08-18T15:33:01.000Z","3","-5"
"2015-08-18T18:12:01.000Z","3","-5"
"2015-08-19T09:22:31.000Z","3","-5"
"2015-08-19T09:30:01.000Z","2","4"
"2015-08-19T09:31:31.000Z","2","-4"
"2015-08-19T15:09:01.000Z","3","-5"
"2015-08-19T15:19:31.000Z","3","-5"
"2015-08-19T16:04:31.000Z","3","5"
"2015-08-19T16:06:01.000Z","2","-4"
"2015-08-20T07:25:31.000Z","3","5"
"2015-08-20T11:40:31.000Z","2","4"
"2015-08-20T11:42:01.000Z","2","-4"
"2015-08-20T15:06:01.000Z","3","-5"
"2015-08-20T15:18:01.000Z","2","4"
"2015-08-20T15:34:31.000Z","3","5"
"2015-08-20T15:36:01.000Z","3","-5"
"2015-08-20T16:15:01.000Z","2","4"
"2015-08-21T08:21:01.000Z","52","9"
"2015-08-21T09:13:31.000Z","2","-4"
"2015-08-21T13:18:01.000Z","10","11"
"2015-08-21T15:00:01.000Z","3","5"
"2015-08-21T15:10:31.000Z","2","4"
"2015-08-24T10:49:31.000Z","3","5"
"2015-08-24T10:51:01.000Z","3","-5"
"2015-08-24T15:10:31.000Z","2","4"
"2015-08-24T15:33:01.000Z","3","5"
"2015-08-24T15:34:31.000Z","2","-4"
"2015-08-24T16:03:01.000Z","2","4"
"2015-08-24T16:09:01.000Z","3","5"
"2015-08-25T09:58:31.000Z","9","9"
"2015-08-25T10:18:01.000Z","9","-20"
"2015-08-25T11:40:31.000Z","9","16"
"2015-08-25T12:40:31.000Z","9","-13"
"2015-08-25T12:48:01.000Z","9","29"
"2015-08-25T13:52:31.000Z","9","12"
"2015-08-25T14:07:31.000Z","9","-30"
"2015-08-25T15:03:01.000Z","3","-5"
"2015-08-25T15:09:01.000Z","3","-5"
